landspace,animal,human
0.637,0.028,0.035
0.505065097,0.106112278,0.088822625
0.436622884,0.142794056,0.12058306
0.395281294,0.163577531,0.141141175
0.367748004,0.17680699,0.155445006
0.348143753,0.185912867,0.16594338
0.333494205,0.192540086,0.173965709
0.322140704,0.197568559,0.180290737
0.322033203,0.207266331,0.190700466
0.3231718,0.216372641,0.200455558
0.325242633,0.225043947,0.20971342
0.328028826,0.233386298,0.218584875
0.331375791,0.241474039,0.22715017
0.335170404,0.249360783,0.235468813
0.339327999,0.257086145,0.243585856
0.343783964,0.264680011,0.251536025
0.348488141,0.272165343,0.259346516
0.353401003,0.279560071,0.267038926
0.350697702,0.280641907,0.268660391
0.3405156,0.275357334,0.264127066
0.330656496,0.269940761,0.259402743
0.321077873,0.264410175,0.254511952
0.311744355,0.258780445,0.249475199
0.302626272,0.25306397,0.244309758
0.293698551,0.247271169,0.23903028
0.284939864,0.241410859,0.233649277
0.276331951,0.235490554,0.228177495
0.26785909,0.229516695,0.222624215
0.259507669,0.223494833,0.216997498
0.251265846,0.217429781,0.211304373
0.243123269,0.211325728,0.205551002
0.23507085,0.205186342,0.199742808
0.227100575,0.199014844,0.193884581
0.219205355,0.192814076,0.187980569
0.211378891,0.186586554,0.182034555
0.203615571,0.180334516,0.176049913
0.195910377,0.174059955,0.170029668
0.217221702,0.193574604,0.189203695
0.216788181,0.193740264,0.189471555
0.252438601,0.226213876,0.221347523
0.251980703,0.226388453,0.221630844
0.287479124,0.258919638,0.253601238
0.304223299,0.274646789,0.269129912
0.303024914,0.274181817,0.268793269
0.301849782,0.273707844,0.268442374
0.300696411,0.273225459,0.268078131
0.299563433,0.2727352,0.267701367
0.298449593,0.272237561,0.267312845
0.297353738,0.271732996,0.266913266
0.296274803,0.271221921,0.266503276
0.295211808,0.270704721,0.266083471
0.294163846,0.270181749,0.265654405
0.293130077,0.269653334,0.265216589
0.292109724,0.269119778,0.264770497
0.291102065,0.268581364,0.264316571
0.290106429,0.268038352,0.263855219
0.28912219,0.267490985,0.263386825
0.288148767,0.266939489,0.262911745
0.287185616,0.266384074,0.26243031
0.28623223,0.265824937,0.261942833
0.285288135,0.265262262,0.261449603
0.284352886,0.26469622,0.260950894
0.283426067,0.264126972,0.260446961
0.282507287,0.263554669,0.259938044
0.281596179,0.262979452,0.259424369
0.280692398,0.262401455,0.258906147
0.27979562,0.261820801,0.258383579
0.278905539,0.261237609,0.257856852
0.278021867,0.260651989,0.257326144
0.277144332,0.260064046,0.256791622
0.276272677,0.259473878,0.256253445
0.275406661,0.258881577,0.255711762
0.274546052,0.258287233,0.255166715
0.273690635,0.257690927,0.254618438
0.272840204,0.257092739,0.254067057
0.271994563,0.256492744,0.253512693
0.271153528,0.255891011,0.252955461
0.270316923,0.255287608,0.252395469
0.269484582,0.254682598,0.25183282
0.268656346,0.254076042,0.251267613
0.267832064,0.253467997,0.250699939
0.267011593,0.252858518,0.250129889
0.266194797,0.252247657,0.249557546
0.265381545,0.251635463,0.248982992
0.264571713,0.251021983,0.248406303
0.263765183,0.250407263,0.247827553
0.262961843,0.249791346,0.247246812
0.262161583,0.249174271,0.246664146
0.261364302,0.248556079,0.246079619
0.2605699,0.247936807,0.245493293
0.259778284,0.24731649,0.244905226
0.258989364,0.246695162,0.244315474
0.258203052,0.246072857,0.243724091
0.257419267,0.245449605,0.243131128
0.256637929,0.244825437,0.242536634
0.255858962,0.244200381,0.241940657
0.255082295,0.243574465,0.241343241
0.254307855,0.242947714,0.24074443
0.253535578,0.242320156,0.240144267
0.252765398,0.241691813,0.23954279
