,x,y1,y2,y3
0,1.0,0.8966899766899767,0.16517450682852808,0.1140597539543058
20,21.0,0.8955501222493888,0.16564945226917058,0.11457194899817852
40,41.0,0.894293059125964,0.16615508885298869,0.11512287334593574
61,62.0,0.8928260869565218,0.16672240802675584,0.115748031496063
81,82.0,0.891264367816092,0.16730103806228375,0.11639344262295083
101,102.0,0.8895121951219512,0.16792114695340501,0.1170940170940171
122,123.0,0.8874267100977199,0.1686219739292365,0.11789709172259508
142,143.0,0.8851567944250871,0.1693423597678917,0.11873536299765808
163,164.0,0.8824060150375941,0.17016129032258065,0.11970443349753696
183,184.0,0.879349593495935,0.17100840336134454,0.12072538860103628
203,204.0,0.8757522123893806,0.1719298245614035,0.12185792349726776
224,225.0,0.871219512195122,0.17298850574712643,0.12318840579710146
244,245.0,0.865945945945946,0.17409638554216866,0.12461538461538463
265,266.0,0.8590243902439025,0.17538071065989846,0.12631578947368421
285,286.0,0.8505555555555556,0.1767379679144385,0.12816901408450704
305,306.0,0.8393548387096774,0.17824858757062145,0.1303030303030303
326,327.0,0.8229126213592234,0.18003003003003,0.13292181069958847
346,347.0,0.7995180722891566,0.18194888178913737,0.1358744394618834
366,367.0,0.7612698412698413,0.1841296928327645,0.1394088669950739
387,388.0,0.681904761904762,0.18676470588235294,0.14395604395604397
407,408.0,0.5327130681818183,0.18968253968253967,0.14938271604938272
428,429.0,0.46695780176643775,0.1932900432900433,0.15673758865248227
448,449.0,0.43353297952994696,0.19739336492890994,0.16611570247933885
468,469.0,0.4124953675108091,0.20235602094240837,0.1792079207920792
489,490.0,0.39743019648397104,0.20882352941176469,0.2
509,510.0,0.3870322291853178,0.2276632147681225,0.19933015706968682
530,531.0,0.37874852883483723,0.2491405680990532,0.20470415085742144
550,551.0,0.37256230256230255,0.2631361675908811,0.20085564049027327
570,571.0,0.3675547792950143,0.2733956219967966,0.19055072643803223
591,592.0,0.3632303695150116,0.28158276750175604,0.17824173871793728
611,612.0,0.3597848034006376,0.28770488367218616,0.1707903276174152
632,633.0,0.3567124295170385,0.2928889728096677,0.1713084314011409
652,653.0,0.35419730532084953,0.2969530710835059,0.1796493130974993
672,673.0,0.35200470185937166,0.30037166454891995,0.19199777837806878
693,694.0,0.3499859831798158,0.30342178566192646,0.2032492418870651
713,714.0,0.3482867397053268,0.3059199562901243,0.2308344733242134
733,734.0,0.3467697533071148,0.30809870860503774,0.2542857142857142
754,755.0,0.3453426975799628,0.310105439731608,0.2700613496932515
774,775.0,0.34411821549363825,0.31179516165498533,0.28049217002237137
795,796.0,0.34295370938074804,0.313375306797567,0.2885493230174081
815,816.0,0.34194460726846426,0.3147239388106575,0.2944260422615648
835,836.0,0.3410204941044357,0.3159425320605535,0.2990978985135828
856,857.0,0.3401303938701438,0.3171016886930984,0.30307265155020824
876,877.0,0.33935004522548134,0.3181063531063531,0.3062007623888183
897,898.0,0.3385932455922523,0.3190705477728379,0.3089614935822637
917,918.0,0.3379255446492698,0.31991305047902746,0.311201732226633
937,938.0,0.3373041368153455,0.32069034904419164,0.31314035678222824
958,959.0,0.33669639870665624,0.3214442957013238,0.31491354919836534
978,979.0,0.33615600388391415,0.32210956546680053,0.3163975155279503
999,1000.0,0.335625,0.3227586206896552,0.3177777777777778
