,x,y1,y2,y3
0,1.0,0.9810964083175804,0.017889087656529516,0.044059753954305794
20,21.0,0.9803536345776032,0.01855287569573284,0.044571948998178505
40,41.0,0.9795501022494888,0.019267822736030827,0.045122873345935725
61,62.0,0.9786324786324786,0.020080321285140562,0.04574803149606299
81,82.0,0.9776785714285714,0.02092050209205021,0.04639344262295082
101,102.0,0.9766355140186916,0.021834061135371178,0.047094017094017095
122,123.0,0.9754299754299754,0.02288329519450801,0.04789709172259508
142,143.0,0.9741602067183462,0.023980815347721823,0.04873536299765808
163,164.0,0.9726775956284153,0.025252525252525252,0.04970443349753695
183,184.0,0.9710982658959537,0.026595744680851064,0.05072538860103627
203,204.0,0.9693251533742331,0.028089887640449437,0.051857923497267755
224,225.0,0.9672131147540983,0.029850746268656716,0.05318840579710145
244,245.0,0.9649122807017544,0.031746031746031744,0.054615384615384614
265,266.0,0.9621212121212122,0.034013605442176874,0.05631578947368421
285,286.0,0.9590163934426229,0.0364963503649635,0.058169014084507045
305,306.0,0.9553571428571429,0.03937007874015748,0.0603030303030303
326,327.0,0.9507389162561576,0.04291845493562232,0.06292181069958848
346,347.0,0.9453551912568307,0.046948356807511735,0.0658744394618834
366,367.0,0.9386503067484663,0.05181347150259067,0.0694088669950739
387,388.0,0.9295774647887324,0.05813953488372093,0.07395604395604397
407,408.0,0.9180327868852459,0.06578947368421052,0.07938271604938271
428,429.0,0.900990099009901,0.07633587786259542,0.08673758865248227
448,449.0,0.8765432098765432,0.09009009009009009,0.09611570247933884
468,469.0,0.8360655737704918,0.10989010989010989,0.10920792079207921
489,490.0,0.75,0.14285714285714285,0.13
509,510.0,0.576291730868002,0.19511033681765394,0.17679476696647595
530,531.0,0.48649983316649986,0.22896306186025814,0.22581235697940505
550,551.0,0.44484363272454347,0.24917364397524572,0.25120996441281135
570,571.0,0.41985991594956973,0.2631598398521713,0.2673653566229986
591,592.0,0.40252025797916324,0.27385471898197244,0.27901619309501985
611,612.0,0.39081027387540795,0.28159644194756556,0.2870978001590247
632,633.0,0.3816277633691491,0.28798832603710656,0.2935597952536063
652,653.0,0.37485324832362316,0.2928978667170097,0.2983993330554398
672,673.0,0.3694206199861345,0.2969604968086942,0.3023254058135145
693,694.0,0.36476540773302235,0.3005346409364126,0.30572213635583034
713,714.0,0.3610801020828188,0.3034271474640868,0.3084327059939902
733,734.0,0.35795542709363354,0.3059246107620869,0.31074600615565
754,755.0,0.35514827076142846,0.30820440932840576,0.3128361458900381
774,775.0,0.3528354280450089,0.31010902120522343,0.3145667686034659
795,796.0,0.350713362466917,0.3118778178539225,0.3161614713961543
815,816.0,0.3489325679828376,0.31337814767392236,0.3175047898117886
835,836.0,0.3473469611442977,0.31472649918962725,0.3187047903552758
856,857.0,0.34585894180442556,0.31600269308454365,0.31983430996160844
876,877.0,0.3445849140267035,0.31710379003395434,0.32080400076937876
897,898.0,0.34337564997423525,0.3181561898091403,0.3217266318776893
917,918.0,0.34232961918825794,0.3190723033048147,0.3225264816598092
937,938.0,0.3413731956996616,0.31991466752535824,0.32325924683385054
958,959.0,0.3404533344263639,0.3207291264385572,0.32396529562982007
978,979.0,0.3396479899200693,0.3214456756153789,0.3245844918134075
999,1000.0,0.3388679245283019,0.3221428571428572,0.3251851851851852
